ID,App UI/UX,Product Availability,Prices & Discounts,Delivery Time,Return & Refund Policy,Customer Support,Payment Options,Product Quality,Trust & Safety,Overall Satisfaction,Platform
1,4,3,2,4,5,2,3,1,5,4,Ajio
2,2,4,4,4,4,3,4,1,4,1,Meesho
3,3,5,3,2,2,3,3,5,4,5,Flipkart
4,4,3,4,5,1,4,2,2,5,1,Flipkart
5,5,4,4,3,4,5,5,4,3,3,Ajio
6,3,1,4,1,1,5,1,4,5,5,Flipkart
7,1,1,2,3,5,3,2,1,2,2,Amazon
8,5,1,4,2,5,1,3,5,5,4,Ajio
9,2,2,4,4,5,2,1,5,2,3,Flipkart
10,5,1,3,4,2,4,5,5,4,5,Ajio
11,4,3,2,3,5,1,2,2,3,1,Myntra
12,3,1,3,2,1,1,4,1,5,5,Flipkart
13,1,3,1,4,5,4,5,2,3,2,Myntra
14,2,5,5,3,2,3,4,5,2,5,Amazon
15,3,1,1,3,2,3,5,2,2,3,Flipkart
16,3,2,5,2,3,5,4,3,2,1,Ajio
17,1,4,1,5,1,3,2,5,2,4,Meesho
18,4,1,4,3,4,1,4,2,1,3,Flipkart
19,3,5,5,3,5,5,2,2,1,1,Ajio
20,2,2,1,5,1,3,5,1,2,1,Flipkart
21,1,1,4,1,3,1,4,1,3,2,Meesho
22,2,3,2,2,2,5,1,5,1,5,Meesho
23,3,4,4,4,4,5,2,1,2,5,Flipkart
24,5,4,3,5,2,3,1,4,4,5,Ajio
25,2,4,3,4,2,2,2,3,5,3,Myntra
26,2,3,3,1,3,5,5,2,3,3,Flipkart
27,5,5,1,3,3,1,4,3,2,5,Amazon
28,5,1,1,5,5,3,4,1,3,1,Ajio
29,2,3,2,1,1,4,4,4,2,3,Myntra
30,5,5,3,2,3,5,5,5,3,1,Meesho
31,5,5,5,3,4,1,1,5,1,3,Flipkart
32,4,3,5,3,2,1,5,5,2,5,Myntra
33,2,4,3,3,3,1,1,5,4,5,Meesho
34,1,1,2,5,4,2,2,2,1,1,Myntra
35,1,5,1,3,1,5,5,5,4,4,Myntra
36,2,3,1,5,3,1,5,4,4,1,Amazon
37,3,2,3,5,2,1,4,1,5,5,Flipkart
38,5,3,1,1,4,3,3,1,1,3,Ajio
39,5,1,3,1,3,3,2,3,3,4,Flipkart
40,4,1,1,1,5,1,2,2,1,2,Flipkart
41,3,1,3,5,3,5,1,2,1,2,Meesho
42,4,2,4,1,4,4,1,3,2,1,Ajio
43,4,3,2,1,4,5,2,3,2,3,Myntra
44,4,3,5,2,5,2,2,5,5,1,Flipkart
45,2,5,3,4,2,1,5,2,1,5,Flipkart
46,5,1,3,4,5,4,1,1,4,4,Flipkart
47,4,4,1,3,5,5,1,5,5,3,Ajio
48,5,4,5,5,5,5,3,3,2,2,Myntra
49,2,2,5,4,1,5,4,2,2,1,Meesho
50,3,2,2,3,4,3,3,5,2,3,Myntra
51,2,3,4,3,2,5,3,4,5,4,Myntra
52,3,2,4,4,3,3,2,5,3,2,Amazon
53,5,3,1,3,1,5,1,3,4,2,Flipkart
54,1,3,2,2,4,4,4,2,4,4,Flipkart
55,3,1,3,5,4,1,3,3,1,1,Ajio
56,2,4,4,5,2,5,2,4,1,4,Amazon
57,2,4,4,3,2,2,3,2,3,4,Myntra
58,3,4,3,1,2,4,5,4,3,3,Meesho
59,3,3,2,5,1,5,4,4,4,1,Amazon
60,1,2,2,5,2,2,3,1,5,5,Amazon
61,5,1,3,1,2,5,5,5,4,1,Flipkart
62,3,4,5,1,4,2,4,3,1,1,Ajio
63,4,4,4,3,1,5,2,1,4,4,Ajio
64,4,2,2,1,4,5,5,1,2,1,Meesho
65,1,1,5,5,5,3,2,5,2,5,Flipkart
66,2,5,3,4,5,4,3,4,3,4,Ajio
67,4,5,4,4,5,3,3,2,2,3,Myntra
68,5,1,3,5,1,1,1,4,4,5,Myntra
69,4,4,5,4,1,3,5,4,4,3,Ajio
70,5,3,2,3,4,5,2,1,3,2,Meesho
71,3,5,4,2,1,1,4,5,5,4,Meesho
72,2,4,5,5,2,4,4,3,5,2,Amazon
73,3,5,5,2,3,3,2,5,1,2,Amazon
74,2,3,3,2,1,5,1,1,5,2,Meesho
75,3,2,3,5,1,4,1,2,5,4,Flipkart
76,3,1,4,3,4,1,2,1,5,3,Ajio
77,1,1,5,1,1,3,1,3,2,5,Meesho
78,3,5,3,3,3,5,5,4,3,4,Ajio
79,5,4,4,3,2,3,4,4,2,2,Myntra
80,5,4,1,1,2,3,4,1,2,4,Ajio
81,3,4,3,5,4,3,4,3,3,1,Amazon
82,5,5,5,3,3,5,5,2,3,3,Amazon
83,4,1,3,1,2,1,3,2,3,2,Ajio
84,5,5,2,2,4,3,5,5,4,5,Myntra
85,1,4,3,3,5,1,2,4,4,1,Ajio
86,2,3,2,4,4,4,1,1,4,3,Meesho
87,3,1,4,4,4,2,3,5,4,3,Myntra
88,5,2,2,1,5,1,2,5,2,3,Flipkart
89,5,1,5,1,5,5,2,1,3,5,Meesho
90,5,2,4,3,5,5,4,1,3,2,Ajio
91,1,4,4,3,5,5,1,4,4,3,Amazon
92,4,1,5,3,4,5,3,2,3,4,Amazon
93,1,1,1,2,3,4,4,1,2,5,Ajio
94,5,5,2,1,5,2,4,4,1,3,Meesho
95,5,2,1,2,4,2,3,5,3,1,Amazon
96,4,3,1,4,5,1,3,1,3,4,Amazon
97,2,1,2,1,4,4,5,2,5,3,Meesho
98,4,2,1,5,5,5,4,4,5,2,Meesho
99,1,3,3,2,5,3,5,1,4,5,Flipkart
100,1,5,4,2,3,1,4,1,4,4,Amazon
101,1,3,3,5,4,3,4,3,5,4,Amazon
102,4,3,1,4,3,1,1,2,3,1,Flipkart
103,3,4,3,4,3,4,5,2,2,5,Ajio
104,3,4,2,5,5,1,3,2,2,3,Myntra
105,1,4,5,2,1,4,1,4,1,2,Flipkart
106,3,3,1,4,3,5,4,3,3,2,Myntra
107,2,2,2,5,4,2,5,4,4,3,Flipkart
108,2,4,5,3,2,3,3,5,2,4,Flipkart
109,4,5,3,4,1,4,3,3,5,4,Amazon
110,1,1,1,1,1,2,1,3,4,2,Myntra
111,2,2,1,5,2,5,5,4,1,3,Flipkart
112,4,3,4,3,1,5,3,3,3,3,Myntra
113,2,5,2,4,4,3,2,1,3,5,Ajio
114,4,3,5,5,1,5,2,2,4,3,Ajio
115,5,3,5,4,5,2,1,1,5,4,Meesho
116,4,5,1,2,5,3,3,3,3,5,Myntra
117,4,5,1,2,1,1,4,2,1,5,Amazon
118,2,3,1,2,5,5,3,1,5,1,Flipkart
119,3,2,1,2,2,3,2,5,3,2,Myntra
120,3,5,1,2,4,5,4,4,4,3,Myntra
121,4,3,5,5,2,2,4,4,5,1,Flipkart
122,2,1,3,5,4,2,2,4,3,4,Amazon
123,2,3,5,5,2,3,4,2,1,1,Flipkart
124,3,5,3,4,2,3,2,4,5,2,Myntra
125,5,3,4,1,5,4,3,5,4,4,Flipkart
126,4,3,4,3,5,3,5,5,1,4,Myntra
127,2,3,3,5,2,5,3,5,2,2,Ajio
128,5,4,2,2,4,4,2,1,4,4,Ajio
129,4,4,4,3,1,2,5,1,3,3,Meesho
130,1,1,2,3,2,3,1,3,4,3,Flipkart
131,4,4,2,3,3,2,3,1,4,3,Meesho
132,5,5,3,4,2,4,5,3,2,5,Myntra
133,4,3,1,2,2,5,1,2,5,4,Myntra
134,5,3,1,3,2,4,3,2,4,5,Amazon
135,3,4,2,3,3,5,5,2,1,2,Meesho
136,2,3,5,2,1,2,2,3,2,5,Ajio
137,3,5,3,2,1,3,2,4,4,2,Amazon
138,4,4,1,1,1,1,4,5,4,2,Amazon
139,5,2,3,5,3,4,5,4,1,4,Ajio
140,4,4,4,4,4,3,5,4,4,4,Amazon
141,3,4,2,4,4,3,1,5,5,4,Flipkart
142,3,5,2,2,5,4,3,1,3,1,Amazon
143,5,2,5,5,3,4,4,5,5,4,Myntra
144,1,4,1,3,5,5,2,4,5,1,Flipkart
145,5,2,4,3,5,2,2,3,4,2,Amazon
146,4,1,3,1,3,3,5,2,4,2,Ajio
147,4,3,5,3,4,2,5,1,5,5,Ajio
148,2,1,3,1,1,1,4,4,5,2,Flipkart
149,5,2,1,4,4,1,2,1,1,3,Amazon
150,2,2,5,4,3,5,5,3,3,3,Amazon
151,2,5,3,1,4,5,2,2,3,5,Amazon
152,3,4,3,2,3,1,3,2,2,2,Amazon
153,5,1,2,2,4,4,5,3,5,2,Ajio
154,4,2,2,4,4,5,3,5,4,1,Myntra
155,5,2,4,2,3,4,1,3,3,4,Ajio
156,4,4,5,5,2,3,2,3,2,3,Amazon
157,3,1,5,1,4,4,2,1,2,3,Amazon
158,5,2,2,5,1,5,4,1,1,2,Meesho
159,5,2,1,3,5,4,4,2,5,1,Amazon
160,3,5,4,1,2,1,5,3,2,5,Flipkart
161,3,5,3,5,3,3,5,4,5,2,Meesho
162,2,2,5,2,3,5,3,3,5,4,Ajio
163,2,5,5,2,3,1,3,4,1,3,Flipkart
164,3,2,4,5,5,3,4,2,4,5,Meesho
165,3,2,2,5,3,3,3,3,1,3,Meesho
166,3,5,4,5,4,1,1,1,2,4,Meesho
167,3,3,4,4,4,3,5,1,1,3,Meesho
168,1,2,1,5,4,2,3,2,3,1,Myntra
169,4,4,5,1,2,4,1,1,1,1,Ajio
170,1,4,1,2,1,3,4,5,2,5,Amazon
171,1,2,2,1,1,3,1,1,1,5,Ajio
172,5,5,5,2,1,1,1,3,4,2,Meesho
173,3,3,2,2,1,2,2,2,4,5,Myntra
174,3,1,1,4,1,1,4,2,4,5,Meesho
175,3,4,1,5,5,4,1,2,1,1,Flipkart
176,5,4,2,1,3,4,2,5,2,3,Flipkart
177,2,5,2,2,4,4,5,2,1,4,Flipkart
178,4,3,3,4,3,4,3,4,5,4,Amazon
179,1,2,3,1,4,4,3,4,1,1,Amazon
180,1,4,5,2,4,5,1,5,3,2,Amazon
181,5,2,1,5,5,5,4,2,3,5,Meesho
182,3,2,2,4,5,3,5,4,2,2,Amazon
183,4,5,5,3,5,3,1,1,5,4,Meesho
184,2,3,3,4,5,1,3,1,2,4,Amazon
185,3,2,1,1,3,1,2,5,4,4,Ajio
186,4,3,2,3,3,3,3,5,4,1,Myntra
187,5,2,4,4,2,1,2,5,2,2,Flipkart
188,1,4,1,3,4,2,2,5,2,4,Meesho
189,5,3,5,4,1,4,5,1,1,1,Flipkart
190,1,5,2,2,5,4,3,4,5,3,Meesho
191,5,2,2,4,1,3,1,2,1,4,Amazon
192,2,3,4,3,5,3,3,2,2,5,Amazon
193,2,5,1,2,5,3,5,3,1,1,Meesho
194,1,3,5,1,4,1,2,2,2,3,Myntra
195,5,3,5,3,2,4,2,2,2,5,Ajio
196,2,4,3,2,2,5,4,2,4,5,Flipkart
197,5,2,3,4,1,2,4,2,2,1,Amazon
198,4,3,4,2,4,2,5,4,5,1,Flipkart
199,4,5,1,2,1,4,1,3,4,1,Myntra
200,4,3,5,2,3,2,4,1,4,5,Myntra
